,Sq_Ft_Tot_Living,Sq_Ft_Lot,Bathroom_count,Bedroom_count,Bldg_Grade,House_Sale_Price
0,2400,9373,3.0,6,7,300805.0
1,3764,20156,3.75,4,10,1076162.0
2,2060,26036,1.75,4,8,761805.0
3,3200,8618,3.75,5,7,442065.0
4,1720,8620,1.75,4,7,297065.0
5,930,1012,1.5,2,8,411781.0
6,1750,34465,1.5,3,8,380785.0
7,1860,14659,1.75,4,7,349489.0
8,990,5324,1.0,2,6,231239.0
9,1980,10585,2.0,4,6,463148.0
10,840,12750,1.0,2,6,160236.0
11,1750,5200,1.0,3,7,372178.0
12,790,5240,1.0,2,6,315175.0
13,790,5240,1.0,2,6,327739.0
14,2120,7320,2.75,3,8,634754.0
15,2620,3485,1.5,4,7,432352.0
16,1500,5253,1.75,3,6,505014.0
17,2070,4600,2.25,3,7,502857.0
18,3020,27229,3.0,3,6,332255.0
19,2370,24034,2.0,4,8,419369.0
20,1530,3296,2.5,3,8,538921.0
21,1530,3696,2.5,3,8,518725.0
22,2780,13349,2.5,3,10,802796.0
23,2420,8186,2.5,3,10,694292.0
24,2280,9093,2.5,4,10,671246.0
25,2280,9093,2.5,4,10,641815.0
26,3130,8750,2.5,3,10,936052.0
27,3060,9055,3.25,3,10,768075.0
28,3190,10223,3.5,3,10,853936.0
29,3130,13412,2.75,4,9,842280.0
30,2660,9021,2.5,3,9,639944.0
31,2230,9948,2.75,3,9,735333.0
32,2341,9594,2.5,4,9,603442.0
33,3540,9185,3.75,4,9,771088.0
34,2470,9001,2.5,3,9,708571.0
35,2810,9012,2.5,4,9,744245.0
36,2590,9100,2.5,4,9,755027.0
37,2330,5420,2.75,3,8,429116.0
38,1850,4500,2.5,3,8,374781.0
39,1850,4500,2.5,3,8,310179.0
40,1920,4800,2.5,4,8,375822.0
41,1850,4597,2.5,3,8,399101.0
42,1850,4597,2.5,3,8,277671.0
43,920,5085,1.0,3,7,286265.0
44,1190,5635,1.0,3,7,294146.0
45,1290,4543,1.0,3,7,232692.0
46,2470,7800,2.25,4,8,550142.0
47,2730,9030,2.5,5,8,575747.0
48,1980,9800,2.75,4,8,612428.0
49,1470,9750,1.75,3,7,451523.0
50,2410,11000,2.5,4,7,570862.0
51,1850,9200,2.0,3,7,466797.0
52,1690,7140,1.75,3,8,667157.0
53,1510,7140,1.5,3,8,642577.0
54,1500,8568,1.5,3,8,711375.0
55,3620,7821,3.5,5,10,704518.0
56,3620,7821,3.5,5,10,1774213.0
57,3060,8736,2.5,3,8,863533.0
58,1240,4000,2.0,3,6,488832.0
59,1490,5320,1.75,3,8,464683.0
60,1790,5098,2.5,3,9,753314.0
61,1790,5098,2.5,3,9,858177.0
62,2230,5460,3.25,3,8,717316.0
63,760,4320,1.0,2,6,334020.0
64,2080,7980,1.75,3,7,386288.0
65,1180,5320,1.75,3,7,368105.0
66,1130,8631,1.75,3,7,304554.0
67,2130,8428,2.5,5,7,396797.0
68,780,16344,1.0,2,5,85269.0
69,1800,7288,2.5,3,8,433538.0
70,2100,7920,2.0,4,7,305942.0
71,1400,19570,1.0,2,6,251036.0
72,700,8140,1.0,1,6,206648.0
73,5050,19350,3.75,5,9,566817.0
74,880,9000,1.0,2,5,190438.0
75,880,9000,1.0,2,5,116525.0
76,2730,10498,2.5,4,8,492882.0
77,1500,9282,1.0,5,6,234090.0
78,1970,10080,1.5,3,7,220187.0
79,3670,9180,4.25,6,10,272553.0
80,5000,26540,3.5,5,10,2227361.0
81,5050,16240,3.25,4,11,2013466.0
82,6210,16750,5.5,5,11,3826741.0
83,2220,8040,1.75,4,7,305270.0
84,1250,7201,1.75,3,6,211725.0
85,1420,8336,1.5,3,7,406868.0
86,2160,8285,2.5,4,7,422651.0
87,1150,7984,1.0,3,7,348005.0
88,2520,13042,3.0,5,8,451036.0
89,2180,9520,2.5,4,8,436969.0
90,1900,8408,2.5,4,8,351664.0
91,3340,15295,2.5,4,10,621115.0
92,2480,13125,2.5,5,8,386081.0
93,2600,5875,2.75,3,8,815493.0
94,1560,5000,1.75,2,7,690928.0
95,2880,5000,2.0,4,8,626137.0
96,1830,3440,1.5,3,8,704060.0
97,2480,6000,1.75,5,7,548650.0
98,1810,7045,2.5,4,7,422578.0
99,1590,6300,1.75,3,7,454043.0
100,1850,6550,2.0,3,7,433979.0
101,1810,6550,1.5,3,7,316632.0
102,2210,6600,2.5,4,8,320102.0
103,1680,6500,1.75,3,7,523908.0
104,1810,6550,1.5,3,7,505217.0
105,1370,6550,1.75,3,6,395033.0
106,1370,6550,1.75,3,6,452454.0
107,1720,6550,2.0,4,7,503121.0
108,1080,6419,1.0,2,6,325614.0
109,2810,4109,3.0,4,8,715491.0
110,2110,4109,1.75,4,7,597773.0
111,2110,4109,1.75,4,7,685589.0
112,1180,5040,1.0,2,6,228138.0
113,1100,9452,1.75,3,6,170693.0
114,1260,11475,1.0,4,6,330257.0
115,2930,10450,2.5,7,7,210434.0
116,1370,18090,1.0,3,6,285250.0
117,1980,7800,2.5,3,8,424456.0
118,1980,7800,2.5,3,8,381423.0
119,1270,29800,0.75,2,6,419649.0
120,1320,8500,1.5,3,7,304210.0
121,1530,4761,1.5,3,7,572063.0
122,1590,4000,1.0,4,7,545179.0
123,2280,6000,2.5,4,8,931588.0
124,3080,4000,2.5,5,8,868994.0
125,5210,12946,3.25,4,11,1061210.0
126,4610,17584,4.0,5,11,1177892.0
127,4930,22093,4.0,4,12,1631840.0
128,4960,17771,4.0,4,12,1597457.0
129,5240,15400,4.25,5,12,1788419.0
130,4950,14942,4.25,5,11,1533835.0
131,4630,14205,3.5,4,11,1041801.0
132,3550,15151,3.75,4,11,989842.0
133,3550,15151,3.75,4,11,928058.0
134,4540,19098,3.5,5,11,1159192.0
135,5210,16531,3.25,4,11,1219048.0
136,4460,16271,3.5,4,11,1125773.0
137,4220,17679,4.25,4,11,1196462.0
138,4840,15783,3.5,4,11,1513784.0
139,4160,15644,4.5,4,11,1074694.0
140,4330,15709,3.5,4,11,1205871.0
141,4630,14479,4.5,4,11,1425913.0
142,3950,14837,3.5,4,11,1253603.0
143,3720,7338,4.25,5,10,1042669.0
144,3550,7845,3.5,4,10,897141.0
145,3150,7121,2.5,4,10,786246.0
146,3210,8938,2.5,4,10,762969.0
147,3230,7331,2.5,4,10,766295.0
148,3320,8030,3.75,4,10,941612.0
149,4070,8727,3.5,4,10,982280.0
150,3740,6998,3.5,4,10,837400.0
151,3190,7380,4.25,5,10,915756.0
152,3280,7422,3.25,4,10,965576.0
153,5090,9379,4.5,6,10,1094078.0
154,3100,9924,2.75,4,10,782636.0
155,3280,8448,4.0,4,10,987408.0
156,3510,12297,3.5,4,10,981467.0
157,3510,12297,3.5,4,10,980305.0
158,3500,9473,3.5,3,10,974910.0
159,3490,6565,3.25,4,10,843907.0
160,4100,11736,3.5,4,10,936207.0
161,3550,9750,3.75,4,10,910956.0
162,3780,10145,2.5,4,10,839124.0
163,3150,12364,2.5,4,10,807122.0
164,3480,7339,2.5,4,10,828132.0
165,4100,8074,3.75,5,10,919943.0
166,4100,8074,3.75,5,10,1041136.0
167,4100,8860,3.5,4,10,921812.0
168,4070,10365,3.5,4,10,924409.0
169,3560,6098,3.5,4,10,900645.0
170,3480,6635,3.5,4,10,992871.0
171,3730,8629,3.0,4,10,835740.0
172,3200,6866,2.75,5,10,788918.0
173,3200,6866,2.75,5,10,767704.0
174,3490,7024,3.25,4,10,833233.0
175,3830,8131,3.75,5,10,850304.0
176,3880,7208,2.5,4,10,832269.0
177,3880,7208,2.5,4,10,771793.0
178,3490,7180,3.25,4,10,793098.0
179,3200,6713,2.75,5,10,772969.0
180,1990,8463,2.25,4,7,388472.0
181,2960,7813,3.5,5,7,370033.0
182,970,7500,1.0,3,7,235634.0
183,1230,7504,2.0,4,6,260729.0
184,1220,8908,1.75,3,7,354122.0
185,1820,7440,2.5,4,7,316893.0
186,1470,7480,2.5,3,7,315316.0
187,1750,7840,1.75,4,7,246166.0
188,2870,8410,2.5,3,10,961346.0
189,2070,5500,1.75,3,7,584161.0
190,1590,7748,2.25,3,7,309841.0
191,2040,7350,2.5,3,7,333516.0
192,2040,7350,2.5,3,7,271472.0
193,1660,7606,2.25,3,7,308361.0
194,1620,7208,1.75,3,7,235370.0
195,1660,7334,2.75,4,7,265439.0
196,1500,7854,2.0,4,7,322894.0
197,1540,7210,2.0,3,7,313160.0
198,1750,7210,2.5,3,7,350124.0
199,1730,7224,2.75,3,7,309561.0
200,1140,6974,1.75,3,7,285183.0
201,1230,6000,1.75,3,7,314461.0
202,1700,5995,2.25,3,7,342142.0
203,1430,5999,2.25,3,7,298411.0
204,1260,7077,2.0,3,7,272432.0
205,1610,6650,2.0,4,7,318093.0
206,1990,6671,2.5,4,7,290051.0
207,2330,7802,2.75,4,8,404951.0
208,1890,6866,2.25,4,8,382951.0
209,860,8168,1.0,2,6,351485.0
210,1200,8168,2.0,3,6,514846.0
211,1200,8168,2.0,3,6,537096.0
212,1300,8395,1.75,3,6,482617.0
213,850,8391,1.0,2,6,364912.0
214,1410,8053,1.0,3,7,449518.0
215,1340,1654,1.5,2,8,372178.0
216,1820,2900,3.5,4,8,465222.0
217,1290,2290,2.5,3,8,374028.0
218,1440,1975,2.5,3,8,415120.0
219,1830,7272,1.75,3,8,317669.0
220,2240,7000,2.25,3,8,335443.0
221,1480,3900,1.75,3,7,264248.0
222,1490,6800,2.5,3,7,317033.0
223,1940,5950,1.75,3,8,333243.0
224,2010,7500,2.75,3,8,345745.0
225,1910,6930,2.5,3,7,306716.0
226,1570,9904,2.25,2,7,348816.0
227,2120,7201,2.5,5,7,101306.0
228,2110,7561,2.5,5,7,101306.0
229,1400,10101,2.0,4,6,236359.0
230,780,9750,1.0,2,6,152044.0
231,1620,5031,2.5,3,7,381476.0
232,1620,5992,2.5,3,7,369187.0
233,1980,4643,2.25,3,7,427214.0
234,1980,4643,2.25,3,7,423390.0
235,1960,4354,2.25,3,7,400294.0
236,1510,3577,2.25,3,7,395083.0
237,920,33300,1.0,2,7,502465.0
238,2680,7727,2.5,3,9,584979.0
239,2570,5267,2.5,4,9,557591.0
240,1410,9584,1.0,3,7,362107.0
241,3930,44083,4.5,7,10,658562.0
242,1560,8456,1.75,3,7,449611.0
243,2800,21370,2.5,4,8,601441.0
244,1090,10296,1.0,3,6,309377.0
245,1210,13167,1.0,2,6,352067.0
246,1040,15000,0.75,3,6,302417.0
247,1170,9848,1.5,3,7,253082.0
248,1360,9695,1.75,3,7,238190.0
249,1960,3565,4.25,4,7,601304.0
250,2160,5750,1.75,3,7,659699.0
251,2160,5750,1.75,3,7,660497.0
252,2880,435191,3.0,4,9,802133.0
253,1200,58411,1.75,3,7,291312.0
254,2750,18910,2.5,5,8,455815.0
255,1200,43560,1.0,4,6,277024.0
256,2500,35245,2.75,3,7,460754.0
257,910,5000,1.0,2,7,421647.0
258,1190,5000,2.0,2,7,472670.0
259,660,4000,1.0,2,5,184397.0
260,1260,4196,1.0,3,7,338759.0
261,1200,6800,1.75,3,7,298752.0
262,1240,29228,1.0,2,6,351845.0
263,620,8261,1.0,2,5,160944.0
264,970,13700,1.0,2,7,369046.0
265,840,7874,1.0,2,6,288445.0
266,1300,7200,1.0,3,7,338131.0
267,2110,14000,2.0,5,6,421954.0
268,1570,10000,2.0,5,6,311431.0
269,2620,8803,2.75,5,8,470856.0
270,1310,21534,1.5,3,7,454223.0
271,2280,4320,2.5,4,7,110965.0
272,2190,220414,2.25,3,7,449611.0
273,2600,51836,2.5,4,8,555489.0
274,2500,43560,2.75,4,8,520193.0
275,1800,13187,2.5,3,9,686003.0
276,3370,9411,2.25,4,10,1363472.0
277,1230,2726,1.0,2,7,579141.0
278,1550,3680,1.75,3,7,485053.0
279,1420,3750,1.0,3,7,651746.0
280,1240,4000,1.0,3,7,492677.0
281,5150,963702,3.75,4,11,2348082.0
282,4700,8212,4.75,7,8,583657.0
283,2130,9800,2.5,4,7,428615.0
284,1840,11367,1.5,4,7,451988.0
285,2060,10911,1.75,5,7,415956.0
286,2020,10200,1.0,5,8,400452.0
287,860,9306,1.0,2,6,280645.0
288,2100,9004,3.0,4,7,398180.0
289,1830,8800,2.25,3,8,439830.0
290,1170,30964,1.0,3,7,452078.0
291,1830,27468,1.75,3,7,418156.0
292,2510,31500,2.75,4,8,911681.0
293,2300,14928,2.75,4,7,404211.0
294,1720,10400,2.5,3,8,393905.0
295,1530,10731,1.75,3,7,386890.0
